Reading data until stopped:
Time;airTMP;soilTMP;airHUM;soilHUM;light
411;18.2;19.8;28.8;99.2;3.5;
412;18.3;19.7;28.8;99.3;3.9;
413;18.2;19.7;28.8;99.3;3.5;
414;18.3;19.6;28.8;99.2;3.9;
415;18.2;19.5;28.8;99.2;3.5;
416;18.3;19.5;28.8;99.2;4.1;
417;18.2;19.8;28.8;99.2;3.5;
418;18.2;19.4;28.8;99.2;3.9;
419;18.3;19.7;28.9;99.2;3.7;
420;18.3;19.6;28.9;99.2;3.9;
421;18.3;19.6;28.9;99.2;3.5;
422;18.2;19.7;28.9;99.2;3.9;
423;18.3;19.5;28.9;99.2;3.6;
424;18.3;19.6;28.9;99.2;3.9;
425;18.3;19.6;28.9;99.2;3.4;
426;18.3;19.5;28.9;99.2;4.2;
427;18.3;19.8;28.9;99.2;3.7;
428;18.3;19.6;28.9;99.2;4.1;
429;18.3;19.4;28.9;99.2;3.5;
430;18.3;19.6;28.8;99.2;3.8;
431;18.3;19.6;28.8;99.2;3.5;
432;18.3;19.5;28.8;99.2;4.1;
433;18.3;19.6;28.8;99.2;3.5;
434;18.3;19.8;28.8;99.2;4.1;
435;18.3;19.5;28.8;99.2;3.5;
436;18.3;19.6;28.9;99.2;4.1;
437;18.3;19.4;28.9;99.2;3.5;
438;18.3;19.5;28.9;99.2;4.2;
439;18.3;19.6;28.9;99.2;3.5;
440;18.3;19.7;28.9;99.3;4.1;
441;18.3;19.4;28.9;99.3;3.4;
442;18.3;19.7;28.9;99.3;3.8;
443;18.3;20.0;28.9;99.3;3.5;
444;18.3;19.1;28.9;99.3;3.9;
445;18.3;19.7;28.9;99.3;3.7;
446;18.3;19.7;28.9;99.3;4.1;
447;18.3;19.7;28.9;99.2;3.5;
448;18.3;19.2;28.9;99.3;4.1;
449;18.3;19.9;28.9;99.3;3.4;
450;18.3;19.5;28.9;99.3;3.9;
451;18.3;19.6;28.9;99.3;3.4;
452;18.3;19.7;28.9;99.3;4.1;
453;18.3;19.7;28.9;99.3;3.7;
454;18.3;19.6;28.9;99.3;3.9;
455;18.3;19.3;28.9;99.3;3.5;
456;18.3;19.5;28.9;99.3;3.9;
457;18.3;19.6;28.9;99.3;3.4;
458;18.3;19.7;28.9;99.3;4.2;
459;18.3;19.6;28.8;99.3;3.5;
460;18.3;20.0;28.8;99.3;3.9;
461;18.3;19.5;28.8;99.3;3.7;
462;18.3;19.7;28.8;99.3;3.9;
463;18.3;19.6;28.8;99.3;3.5;
464;18.3;19.8;28.8;99.3;4.1;
465;18.3;19.4;28.9;99.3;3.5;
466;18.3;19.4;28.8;99.2;4.1;
467;18.3;19.7;28.8;99.2;3.5;
468;18.3;19.9;28.8;99.2;4.1;
469;18.3;19.6;28.8;99.3;3.5;
470;18.3;19.8;28.8;99.2;3.9;
471;18.3;19.6;28.8;99.2;3.4;
472;18.3;19.5;28.8;99.2;4.1;
473;18.3;19.4;28.8;99.2;3.7;
474;18.3;19.5;28.8;99.2;4.1;
475;18.3;19.8;28.8;99.3;3.5;
476;18.3;19.8;28.8;99.3;3.9;
477;18.3;19.8;28.8;99.3;3.4;
478;18.3;19.6;28.8;99.3;4.1;
479;18.3;19.6;28.8;99.3;3.5;
480;18.3;19.5;28.8;99.3;3.9;
481;18.3;19.9;28.8;99.3;3.4;
482;18.3;19.6;28.8;99.3;4.1;
483;18.3;20.0;28.8;99.3;3.5;
484;18.3;19.6;28.8;99.3;4.1;
485;18.3;19.4;28.8;99.3;3.5;
486;18.3;19.6;28.8;99.3;3.9;
487;18.3;19.7;28.8;99.3;3.4;
488;18.3;19.5;28.9;99.3;3.9;
489;18.3;19.8;28.9;99.3;3.5;
490;18.3;19.8;28.9;99.3;4.1;
491;18.3;19.5;28.9;99.3;3.5;
492;18.3;19.7;28.9;99.3;3.9;
493;18.3;19.8;29.0;99.3;3.5;
494;18.3;19.8;29.0;99.3;4.1;
495;18.3;19.4;29.0;99.3;3.5;
496;18.3;19.4;29.0;99.2;3.9;
497;18.3;19.7;29.0;99.3;3.7;
498;18.3;19.6;29.0;99.2;4.1;
499;18.3;19.3;29.0;99.3;3.5;
500;18.3;19.6;29.0;99.3;4.1;
501;18.3;19.8;29.0;99.2;3.7;
502;18.3;19.7;29.0;99.2;4.1;
503;18.3;19.4;29.0;99.2;3.7;
504;18.3;19.8;29.0;99.2;4.1;
505;18.3;19.5;29.0;99.2;3.5;
506;18.3;19.5;29.0;99.2;4.2;
